Severity	Code	Description	Project	File	Line	Suppression State
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Services\Configuration\ConfigurationManagerService.cs	541	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Services\Configuration\ConfigurationManagerService.cs	777	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Services\Configuration\FeatureToggleService.cs	197	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Services\Configuration\HotReloadService.cs	621	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Services\Configuration\SecureConfigurationService.cs	179	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Services\Configuration\SecureConfigurationService.cs	786	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Services\EnhancedErrorHandlingService.cs	599	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Services\Performance\ModuleLoadingCoordinator.cs	91	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Services\Performance\ModuleLoadingCoordinator.cs	157	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\ViewModels\Base\BaseListViewModel.cs	309	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\ViewModels\Base\BaseServiceManagementViewModel.cs	212	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\ViewModels\Base\ServiceViewModel.cs	77	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\ViewModels\Base\SessionAwareViewModel.cs	310	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\ViewModels\Dialogs\FormulaSelectionDialogViewModel.cs	187	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\ViewModels\Formulas\FormulaThemeViewModel.cs	210	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\ViewModels\MedicalCase\MedicalCaseViewModel.cs	557	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\ViewModels\Prescriptions\PrescriptionViewModel.cs	552	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Views\Base\BaseListView.xaml.cs	68	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Views\Dialogs\CriticalErrorDialog.xaml.cs	21	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Core\Views\PrintPreviewDialog.xaml.cs	210	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Infrastructure	D:\source\repos\LYBTZYZS\src\Server\Core\LYBT.Infrastructure\Data\DatabaseInitializationService.cs	350	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Infrastructure	D:\source\repos\LYBTZYZS\src\Server\Core\LYBT.Infrastructure\Repositories\OptimizedBaseRepository.cs	717	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Infrastructure	D:\source\repos\LYBTZYZS\src\Client\Desktop\Infrastructure\Api\UnifiedApiClientManager.cs	60	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Infrastructure	D:\source\repos\LYBTZYZS\src\Client\Desktop\Infrastructure\HttpClientFactory.cs	131	
Warning (active)	SA1202	'public' members should come before 'private' members (https://github.com/DotNetAnalyzers/StyleCopAnalyzers/blob/master/documentation/SA1202.md)	LYBT.Desktop.Workbench.Core	D:\source\repos\LYBTZYZS\src\Client\Desktop\Workbenches\Core\WorkbenchRouter.cs	58	
