Severity	Code	Description	Project	File	Line	Suppression State
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	97	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	126	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	162	
Error (active)	CS0103	The name 'FindEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidatePrerequisitesStep.cs	190	
Error (active)	CS0103	The name 'UpdateEntityAsync' does not exist in the current context	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	117	
Error (active)	CS0103	The name 'UpdateEntityAsync' does not exist in the current context	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	137	
Error (active)	CS0103	The name 'UpdateEntityAsync' does not exist in the current context	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	192	
Error (active)	CS0103	The name 'UpdateEntityAsync' does not exist in the current context	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\Steps\UpdatePatientStatusStep.cs	212	
Error (active)	CS0103	The name 'UpdateEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\AddPrescriptionItemsStep.cs	278	
Error (active)	CS0103	The name 'UpdateEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\UpdateMedicalCaseStep.cs	119	
Error (active)	CS0103	The name 'UpdateEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\UpdateMedicalCaseStep.cs	139	
Error (active)	CS0103	The name 'UpdateEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\UpdateMedicalCaseStep.cs	202	
Error (active)	CS0103	The name 'UpdateEntityAsync' does not exist in the current context	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\UpdateMedicalCaseStep.cs	221	
Error (active)	CS0308	The non-generic type 'ITransactionCoordinator' cannot be used with type arguments	LYBT.Module.MedicalCase	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.MedicalCase\Transactions\StartConsultationTransaction.cs	92	
Error (active)	CS0308	The non-generic type 'ITransactionCoordinator' cannot be used with type arguments	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\CreatePrescriptionTransaction.cs	92	
Error (active)	CS7036	There is no argument given that corresponds to the required parameter 'data' of 'DatabaseTransactionStep<PrescriptionTransactionContext>.CreateFailureResult(Exception, Dictionary<string, object>, string)'	LYBT.Module.Prescriptions	D:\source\repos\LYBTZYZS\src\Server\Modules\LYBT.Module.Prescriptions\Transactions\Steps\ValidateCompatibilityStep.cs	151	
